131000,6,1 1 1 1 1 1 1 1 1 1,3.321356,3.271916,9.039603e-04
131500,6,1 1 1 1 1 1 1 1 1 1,3.309161,3.274375,8.837670e-04
132000,6,1 1 1 1 1 1 1 1 1 1,3.311835,3.254634,8.619244e-04
132500,6,1 1 1 1 1 1 1 1 1 1,3.299072,3.253953,8.385276e-04
133000,6,1 1 1 1 1 1 1 1 1 1,3.301940,3.257314,8.136785e-04
133500,6,1 1 1 1 1 1 1 1 1 1,3.284301,3.239878,7.874853e-04
134000,6,1 1 1 1 1 1 1 1 1 1,3.283420,3.239615,7.600621e-04
134500,6,1 1 1 1 1 1 1 1 1 1,3.280134,3.223165,7.315282e-04
135000,6,1 1 1 1 1 1 1 1 1 1,3.267347,3.227078,7.020079e-04
135500,6,1 1 1 1 1 1 1 1 1 1,3.269101,3.223756,6.716297e-04
136000,6,1 1 1 1 1 1 1 1 1 1,3.260001,3.217129,6.405260e-04
136500,6,1 1 1 1 1 1 1 1 1 1,3.253299,3.206448,6.088322e-04
137000,6,1 1 1 1 1 1 1 1 1 1,3.240088,3.203380,5.766862e-04
137500,6,1 1 1 1 1 1 1 1 1 1,3.241059,3.197427,5.442281e-04
138000,6,1 1 1 1 1 1 1 1 1 1,3.227938,3.179954,5.115991e-04
138500,6,1 1 1 1 1 1 1 1 1 1,3.227479,3.190412,4.789415e-04
139000,6,1 1 1 1 1 1 1 1 1 1,3.217114,3.171511,4.463972e-04
139500,6,1 1 1 1 1 1 1 1 1 1,3.207035,3.162764,4.141082e-04
140000,6,1 1 1 1 1 1 1 1 1 1,3.208225,3.160234,3.822150e-04
140500,6,1 1 1 1 1 1 1 1 1 1,3.194137,3.150265,3.508564e-04
141000,6,1 1 1 1 1 1 1 1 1 1,3.184843,3.142780,3.201690e-04
141500,6,1 1 1 1 1 1 1 1 1 1,3.176227,3.144175,2.902864e-04
142000,6,1 1 1 1 1 1 1 1 1 1,3.174668,3.127618,2.613388e-04
142500,6,1 1 1 1 1 1 1 1 1 1,3.168106,3.126771,2.334522e-04
143000,6,1 1 1 1 1 1 1 1 1 1,3.158914,3.118917,2.067480e-04
143500,6,1 1 1 1 1 1 1 1 1 1,3.154089,3.113801,1.813425e-04
144000,6,1 1 1 1 1 1 1 1 1 1,3.148350,3.105868,1.573464e-04
144500,6,1 1 1 1 1 1 1 1 1 1,3.142915,3.094848,1.348640e-04
145000,6,1 1 1 1 1 1 1 1 1 1,3.135203,3.092131,1.139934e-04
145500,6,1 1 1 1 1 1 1 1 1 1,3.129082,3.087901,9.482543e-05
146000,6,1 1 1 1 1 1 1 1 1 1,3.123675,3.090023,7.744349e-05
146500,6,1 1 1 1 1 1 1 1 1 1,3.118548,3.082410,6.192330e-05
147000,6,1 1 1 1 1 1 1 1 1 1,3.114051,3.074873,4.833244e-05
147500,6,1 1 1 1 1 1 1 1 1 1,3.107620,3.082057,3.673009e-05
148000,6,1 1 1 1 1 1 1 1 1 1,3.115474,3.075088,2.716678e-05
148500,6,1 1 1 1 1 1 1 1 1 1,3.107842,3.079470,1.968414e-05
149000,6,1 1 1 1 1 1 1 1 1 1,3.103208,3.079033,1.431477e-05
149500,6,1 1 1 1 1 1 1 1 1 1,3.110996,3.076457,1.108203e-05
149999,6,1 1 1 1 1 1 1 1 1 1,3.106991,3.070506,1.000002e-05
